# Source: tasks/prd-oss-prep-v2.md
# Generated: 2026-02-12T00:00:00Z
# Stories: 1.1, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 2.10, 3.1
# NOTE: Batch 2 stories all create NEW files under phases/ — safe to parallelize.

# Ralph Story Queue
# Format: ID | Title

# [batch:1] — foundation: shared patterns and state schema must exist before phase extraction
1.1 | Create shared pattern libraries and state schema

# [batch:2] — phase extraction: each creates a new file under phases/, no conflicts
2.1 | Extract Phase 0 — Reconnaissance
2.2 | Extract Phase 1 — Secrets Audit
2.3 | Extract Phase 2 — PII Audit
2.4 | Extract Phase 3 — Dependencies with license fix
2.5 | Extract Phase 4 — Code Quality
2.6 | Extract Phase 5 — Documentation with license adjustment
2.7 | Extract Phase 6 — GitHub Setup
2.8 | Extract Phase 7 — Naming and Identity
2.9 | Extract Phase 8 — History Flatten with safety hardening
2.10 | Extract Phase 9 — Final Report

# [batch:3] — orchestrator: depends on all phase files existing
3.1 | Replace SKILL.md with thin orchestrator
